schema_context,column,check,check_number,failure_case,index,check_source_code
Column,artist,not_nullable,,,9030,
Column,genre,not_nullable,,,7619,
Column,genre,not_nullable,,,7642,
Column,genre,not_nullable,,,7641,
Column,genre,not_nullable,,,7639,
Column,genre,not_nullable,,,7638,
Column,genre,not_nullable,,,7636,
Column,genre,not_nullable,,,7634,
Column,genre,not_nullable,,,7626,
Column,genre,not_nullable,,,7625,
Column,genre,not_nullable,,,7620,
Column,genre,not_nullable,,,7618,
Column,genre,not_nullable,,,7647,
Column,genre,not_nullable,,,7615,
Column,genre,not_nullable,,,7610,
Column,genre,not_nullable,,,7608,
Column,genre,not_nullable,,,7602,
Column,genre,not_nullable,,,7596,
Column,genre,not_nullable,,,7595,
Column,genre,not_nullable,,,7592,
Column,genre,not_nullable,,,7586,
Column,genre,not_nullable,,,7584,
Column,genre,not_nullable,,,7646,
Column,genre,not_nullable,,,7649,
Column,genre,not_nullable,,,7581,
Column,genre,not_nullable,,,7675,
Column,genre,not_nullable,,,7705,
Column,genre,not_nullable,,,7703,
Column,genre,not_nullable,,,7697,
Column,genre,not_nullable,,,7696,
Column,genre,not_nullable,,,7694,
Column,genre,not_nullable,,,7693,
Column,genre,not_nullable,,,7687,
Column,genre,not_nullable,,,7681,
Column,genre,not_nullable,,,7676,
Column,genre,not_nullable,,,7670,
Column,genre,not_nullable,,,7650,
Column,genre,not_nullable,,,7669,
Column,genre,not_nullable,,,7668,
Column,genre,not_nullable,,,7666,
Column,genre,not_nullable,,,7665,
Column,genre,not_nullable,,,7662,
Column,genre,not_nullable,,,7661,
Column,genre,not_nullable,,,7657,
Column,genre,not_nullable,,,7654,
Column,genre,not_nullable,,,7652,
Column,genre,not_nullable,,,7583,
Column,genre,not_nullable,,,7579,
Column,genre,not_nullable,,,7712,
Column,genre,not_nullable,,,7474,
Column,genre,not_nullable,,,7494,
Column,genre,not_nullable,,,7492,
Column,genre,not_nullable,,,7491,
Column,genre,not_nullable,,,7490,
Column,genre,not_nullable,,,7483,
Column,genre,not_nullable,,,7479,
Column,genre,not_nullable,,,7477,
Column,genre,not_nullable,,,7476,
Column,genre,not_nullable,,,7475,
Column,genre,not_nullable,,,7470,
Column,genre,not_nullable,,,7506,
Column,genre,not_nullable,,,7469,
Column,genre,not_nullable,,,7467,
Column,genre,not_nullable,,,7465,
Column,genre,not_nullable,,,7461,
Column,genre,not_nullable,,,7458,
Column,genre,not_nullable,,,7456,
Column,genre,not_nullable,,,7453,
Column,genre,not_nullable,,,7447,
Column,genre,not_nullable,,,7443,
Column,genre,not_nullable,,,7495,
Column,genre,not_nullable,,,7516,
Column,genre,not_nullable,,,7576,
Column,genre,not_nullable,,,7550,
Column,genre,not_nullable,,,7567,
Column,genre,not_nullable,,,7565,
Column,genre,not_nullable,,,7562,
Column,genre,not_nullable,,,7560,
Column,genre,not_nullable,,,7559,
Column,genre,not_nullable,,,7558,
Column,genre,not_nullable,,,7557,
Column,genre,not_nullable,,,7555,
Column,genre,not_nullable,,,7551,
Column,genre,not_nullable,,,7548,
Column,genre,not_nullable,,,7519,
Column,genre,not_nullable,,,7547,
Column,genre,not_nullable,,,7543,
Column,genre,not_nullable,,,7539,
Column,genre,not_nullable,,,7535,
Column,genre,not_nullable,,,7534,
Column,genre,not_nullable,,,7533,
Column,genre,not_nullable,,,7531,
Column,genre,not_nullable,,,7530,
Column,genre,not_nullable,,,7523,
Column,genre,not_nullable,,,7710,
Column,genre,not_nullable,,,7717,
Column,genre,not_nullable,,,7437,
Column,genre,not_nullable,,,7879,
Column,genre,not_nullable,,,7908,
Column,genre,not_nullable,,,7906,
Column,genre,not_nullable,,,7900,
Column,genre,not_nullable,,,7896,
Column,genre,not_nullable,,,7895,
Column,genre,not_nullable,,,7889,
Column,genre,not_nullable,,,7886,
Column,genre,not_nullable,,,7885,
Column,genre,not_nullable,,,7880,
Column,genre,not_nullable,,,7877,
Column,genre,not_nullable,,,7913,
Column,genre,not_nullable,,,7872,
Column,genre,not_nullable,,,7870,
Column,genre,not_nullable,,,7867,
Column,genre,not_nullable,,,7865,
Column,genre,not_nullable,,,7863,
Column,genre,not_nullable,,,7862,
Column,genre,not_nullable,,,7857,
Column,genre,not_nullable,,,7854,
Column,genre,not_nullable,,,7851,
Column,genre,not_nullable,,,7910,
Column,genre,not_nullable,,,7916,
Column,genre,not_nullable,,,7835,
Column,genre,not_nullable,,,7940,
Column,genre,not_nullable,,,7970,
Column,genre,not_nullable,,,7964,
Column,genre,not_nullable,,,7960,
Column,genre,not_nullable,,,7956,
Column,genre,not_nullable,,,7953,
Column,genre,not_nullable,,,7949,
Column,genre,not_nullable,,,7948,
Column,genre,not_nullable,,,7943,
Column,genre,not_nullable,,,7942,
Column,genre,not_nullable,,,7938,
Column,genre,not_nullable,,,7917,
Column,genre,not_nullable,,,7934,
Column,genre,not_nullable,,,7933,
Column,genre,not_nullable,,,7931,
Column,genre,not_nullable,,,7930,
Column,genre,not_nullable,,,7929,
Column,genre,not_nullable,,,7928,
Column,genre,not_nullable,,,7926,
Column,genre,not_nullable,,,7925,
Column,genre,not_nullable,,,7924,
Column,genre,not_nullable,,,7843,
Column,genre,not_nullable,,,7829,
Column,genre,not_nullable,,,7721,
Column,genre,not_nullable,,,7748,
Column,genre,not_nullable,,,7770,
Column,genre,not_nullable,,,7763,
Column,genre,not_nullable,,,7762,
Column,genre,not_nullable,,,7759,
Column,genre,not_nullable,,,7758,
Column,genre,not_nullable,,,7757,
Column,genre,not_nullable,,,7755,
Column,genre,not_nullable,,,7752,
Column,genre,not_nullable,,,7751,
Column,genre,not_nullable,,,7742,
Column,genre,not_nullable,,,7776,
Column,genre,not_nullable,,,7736,
Column,genre,not_nullable,,,7733,
Column,genre,not_nullable,,,7732,
Column,genre,not_nullable,,,7731,
Column,genre,not_nullable,,,7729,
Column,genre,not_nullable,,,7728,
Column,genre,not_nullable,,,7727,
Column,genre,not_nullable,,,7723,
Column,genre,not_nullable,,,7722,
Column,genre,not_nullable,,,7775,
Column,genre,not_nullable,,,7779,
Column,genre,not_nullable,,,7828,
Column,genre,not_nullable,,,7811,
Column,genre,not_nullable,,,7826,
Column,genre,not_nullable,,,7825,
Column,genre,not_nullable,,,7823,
Column,genre,not_nullable,,,7820,
Column,genre,not_nullable,,,7819,
Column,genre,not_nullable,,,7815,
Column,genre,not_nullable,,,7814,
Column,genre,not_nullable,,,7813,
Column,genre,not_nullable,,,7812,
Column,genre,not_nullable,,,7809,
Column,genre,not_nullable,,,7781,
Column,genre,not_nullable,,,7807,
Column,genre,not_nullable,,,7806,
Column,genre,not_nullable,,,7805,
Column,genre,not_nullable,,,7796,
Column,genre,not_nullable,,,7794,
Column,genre,not_nullable,,,7791,
Column,genre,not_nullable,,,7789,
Column,genre,not_nullable,,,7788,
Column,genre,not_nullable,,,7787,
Column,genre,not_nullable,,,7439,
Column,genre,not_nullable,,,7435,
Column,genre,not_nullable,,,6862,
Column,genre,not_nullable,,,7054,
Column,genre,not_nullable,,,7109,
Column,genre,not_nullable,,,7105,
Column,genre,not_nullable,,,7102,
Column,genre,not_nullable,,,7096,
Column,genre,not_nullable,,,7093,
Column,genre,not_nullable,,,7085,
Column,genre,not_nullable,,,7080,
Column,genre,not_nullable,,,7077,
Column,genre,not_nullable,,,7060,
Column,genre,not_nullable,,,7046,
Column,genre,not_nullable,,,7114,
Column,genre,not_nullable,,,7043,
Column,genre,not_nullable,,,7041,
Column,genre,not_nullable,,,7040,
Column,genre,not_nullable,,,7038,
Column,genre,not_nullable,,,7029,
Column,genre,not_nullable,,,7024,
Column,genre,not_nullable,,,7021,
Column,genre,not_nullable,,,7020,
Column,genre,not_nullable,,,7019,
Column,genre,not_nullable,,,7113,
